tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
-26.5,6.599999999999998,0.0,228,184,0,13,0,2,0,6.615012865125919,1,0.49999999999999994,0.8660254037844387,59.11592053197085,-65.06954254974842,-0.0218,2015,0
-6.6,11.8,0.0,596,92,0,9,0,5,0,8.828347683014622,1,0.49999999999999994,0.8660254037844387,46.14424782928496,-100.78655824634059,0.2419,2015,0
0.0,16.400000000000002,0.0,1157,112,13,24,72,28,0,9.965599136341126,1,0.49999999999999994,0.8660254037844387,34.17868824481293,-107.64968701701373,0.1459,2015,1
15.55,11.5,172.05,1534,1891,573,40,713,75,140,10.75947139691833,1,0.49999999999999994,0.8660254037844387,22.64431999671828,-99.49298423720847,0.7497,2015,1
-0.6500000000000001,8.5,0.0,702,358,2,19,17,15,0,9.21035398855626,1,0.49999999999999994,0.8660254037844387,42.658784526901215,-114.15348967403906,0.23370000000000002,2015,0
-18.3,7.200000000000001,0.0,31,196,0,10,0,1,0,2.420949501339457,1,0.49999999999999994,0.8660254037844387,67.81161248224782,-163.74049335743666,-0.1086,2015,0
-0.9500000000000001,5.7,0.0,394,1672,0,153,4,3,0,8.438248862099444,1,0.49999999999999994,0.8660254037844387,49.23445240665611,-121.4118771697248,0.40850000000000003,2015,0
-27.25,5.900000000000002,0.0,119,229,0,4,0,2,0,5.138381582656503,1,0.49999999999999994,0.8660254037844387,63.64342956393324,-67.69262317937742,-0.037700000000000004,2015,0
-8.05,6.5,0.0,136,529,0,129,0,0,0,6.4825696287791965,1,0.49999999999999994,0.8660254037844387,59.61897709107778,-137.3659566156875,-0.0132,2015,0
1.25,11.5,0.0,821,670,58,16,110,17,0,9.257725326643104,1,0.49999999999999994,0.8660254037844387,42.19166057915906,-121.66340544927827,0.4137,2015,0
-4.6,9.0,0.0,723,953,0,41,0,8,0,9.412267773784743,1,0.49999999999999994,0.8660254037844387,40.61062567910871,-87.95861598911382,0.2043,2015,0
-20.85,8.700000000000003,0.0,121,265,0,23,0,0,0,5.788824893023963,1,0.49999999999999994,0.8660254037844387,61.91866421842376,-112.82398305354218,-0.038400000000000004,2015,1
-17.400000000000002,7.4,0.0,49,397,0,9,0,3,0,3.852943237325127,1,0.49999999999999994,0.8660254037844387,66.12277974810311,-159.42857999366296,-0.050300000000000004,2015,0
