tmean,dtr,GDDm,srad,soil,aet,pr,pet,vpd,def,daylen,month,month_sin,month_cos,lat,lon,NDVI,year,label
27.1,11.0,530.1,1888,182,1251,130,1331,103,80,12.945684644943647,1,0.49999999999999994,0.8660254037844387,-17.672069954565856,-62.69799019967287,0.6894,2015,2
23.4,12.400000000000002,415.4,2660,280,1616,163,1711,128,95,13.997020944431988,1,0.49999999999999994,0.8660254037844387,-33.69801462325812,-55.79892881763496,0.6787000000000001,2015,2
27.750000000000004,9.100000000000001,550.2500000000001,2153,2048,1039,96,1359,109,319,12.191179457715657,1,0.49999999999999994,0.8660254037844387,-3.694284133666102,-43.33031267405599,0.7741,2015,1
26.550000000000004,10.7,513.0500000000002,2523,231,396,38,1618,122,1222,12.380657555594244,1,0.49999999999999994,0.8660254037844387,-7.323477881508964,-37.688892689785405,0.6355000000000001,2015,2
26.75,10.099999999999998,519.25,1805,2584,1114,278,1114,80,0,12.534955549917145,1,0.49999999999999994,0.8660254037844387,-10.23401940205622,-55.08027659033934,0.6944,2015,2
26.25,11.7,503.75,1763,842,926,71,1069,102,144,11.882608997377796,1,0.49999999999999994,0.8660254037844387,2.2705293528875217,-74.62761717278012,0.6924,2015,0
29.150000000000002,11.300000000000004,593.6500000000001,2518,77,663,69,1836,164,1172,13.244115169595988,1,0.49999999999999994,0.8660254037844387,-22.702635545635175,-59.284392120018694,0.5459,2015,1
26.5,10.0,511.5,2152,436,1356,241,1356,92,0,13.122198359340903,1,0.49999999999999994,0.8660254037844387,-20.69040930920744,-53.42737646755941,0.5774,2015,1
24.450000000000003,10.7,447.9500000000001,2637,1028,1183,75,1454,70,271,13.022572558959942,1,0.49999999999999994,0.8660254037844387,-19.001576575062742,-46.4923824741567,0.6514,2015,1
27.0,8.2,527.0,1209,2296,758,181,758,45,0,12.32410484748862,1,0.49999999999999994,0.8660254037844387,-6.2454995405655325,-64.09936204289933,0.8267,2015,1
27.5,12.2,542.5,2404,102,1351,140,1684,147,333,13.455632507957572,1,0.49999999999999994,0.8660254037844387,-26.044368402559797,-59.85931390185519,0.7702,2015,1
27.25,11.299999999999997,534.75,1653,1071,815,46,1037,118,222,11.895625826237449,1,0.49999999999999994,0.8660254037844387,2.019001073334067,-73.65743666593104,0.8631000000000001,2015,2
25.85,10.100000000000001,491.35,988,589,661,349,661,68,0,12.254696180844467,1,0.49999999999999994,0.8660254037844387,-4.915992920068646,-73.62150405456626,0.15360000000000001,2015,0
25.5,9.0,480.5,2036,939,1230,263,1230,75,0,11.392863049739999,1,0.49999999999999994,0.8660254037844387,11.577075696365767,-84.4372200753653,0.7895000000000001,2015,1
26.6,9.600000000000001,514.6,1599,2862,1038,281,1038,87,0,12.447012070407236,1,0.49999999999999994,0.8660254037844387,-8.581119279276294,-55.47553531535192,0.8367,2015,0
26.6,8.399999999999999,514.6,1168,2753,740,217,740,47,0,12.40335874437019,1,0.49999999999999994,0.8660254037844387,-7.754669217886331,-63.775968540616304,0.7577,2015,0
26.1,9.0,499.1,1826,3373,1061,354,1061,52,0,12.181856113719567,1,0.49999999999999994,0.8660254037844387,-3.5146210768421895,-48.289013042395766,0.7397,2015,0
23.6,9.600000000000001,421.6,2424,631,1305,147,1305,47,0,13.272965940759102,1,0.49999999999999994,0.8660254037844387,-23.169759493377327,-45.41440413321328,0.7361000000000001,2015,2
26.400000000000002,9.399999999999999,508.4000000000001,2317,547,1487,200,1487,108,0,13.420669092788234,1,0.49999999999999994,0.8660254037844387,-25.505379232088075,-55.97859187445886,0.6879000000000001,2015,1
24.65,10.3,454.15,1415,4078,834,329,834,39,0,12.596708895964456,1,0.49999999999999994,0.8660254037844387,-11.383862965729207,-60.47016829505647,0.8708,2015,2
25.950000000000003,7.900000000000002,494.4500000000001,1791,1424,1038,111,1038,54,0,12.133432473491018,1,0.49999999999999994,0.8660254037844387,-2.580373181357885,-53.894500415301565,0.8150000000000001,2015,0
16.700000000000003,13.400000000000002,207.7000000000001,2661,2,26,3,2100,132,2074,15.090950211114164,1,0.49999999999999994,0.8660254037844387,-45.44797853954145,-67.40516228845917,0.326,2015,1
24.0,18.200000000000003,434.0,3173,22,141,15,2397,226,2256,14.446620621309306,1,0.49999999999999994,0.8660254037844387,-39.08790632797525,-66.0397230565975,0.2151,2015,0
27.15,7.300000000000001,531.65,1534,1681,1082,433,1082,82,0,12.835632372935155,1,0.49999999999999994,0.8660254037844387,-15.73170894086769,-65.21327299520753,0.7527,2015,2
27.9,13.2,554.9,2556,88,210,21,1818,182,1608,12.462242853383737,1,0.49999999999999994,0.8660254037844387,-8.868580170194534,-41.102490769439584,0.4243,2015,2
25.55,11.100000000000001,482.05,1605,12,42,4,1281,122,1239,12.320344053490102,1,0.49999999999999994,0.8660254037844387,-6.173634317835976,-79.69411537521422,0.18730000000000002,2015,0
26.85,7.700000000000003,522.35,1463,1913,891,251,891,61,0,12.111110578162993,1,0.49999999999999994,0.8660254037844387,-2.149181844980518,-60.3983030723269,0.5201,2015,0
27.700000000000003,12.0,548.7,2405,11,751,79,1658,146,907,13.150173674879747,1,0.49999999999999994,0.8660254037844387,-21.15753325694959,-63.02138370195591,0.7905000000000001,2015,2
10.950000000000001,9.3,29.45000000000003,2425,54,199,20,1149,50,950,16.09594252834824,1,0.49999999999999994,0.8660254037844387,-52.81416386932153,-70.24383858627687,0.4823,2015,1
17.25,17.5,224.75,2821,6,47,5,2349,156,2302,14.715751760039792,1,0.49999999999999994,0.8660254037844387,-41.926582625792946,-67.72855579074219,0.16970000000000002,2015,1
12.600000000000001,15.200000000000003,80.60000000000005,2078,1,258,27,1272,77,1014,13.167484694707944,1,0.49999999999999994,0.8660254037844387,-21.444994147867845,-66.93803834071701,0.1019,2015,1
24.5,10.400000000000002,449.5,1601,2894,934,252,934,48,0,12.42041738902623,1,0.49999999999999994,0.8660254037844387,-8.078062720169356,-50.480902335647386,0.8258000000000001,2015,1
28.200000000000003,10.0,564.2,1702,2585,655,1,1338,136,683,11.576969908606042,1,0.49999999999999994,0.8660254037844387,8.127545005346803,-66.61464483843399,0.3663,2015,1
27.250000000000004,12.100000000000001,534.7500000000001,1514,515,961,98,978,95,16,11.877028896259786,1,0.49999999999999994,0.8660254037844387,2.3783271869818634,-68.33941018394347,0.7564000000000001,2015,0
27.300000000000004,7.800000000000001,536.3000000000002,1453,1131,884,228,884,54,0,12.174400228211608,1,0.49999999999999994,0.8660254037844387,-3.3708906313830624,-62.37459669738985,0.8283,2015,2
18.450000000000003,13.7,261.9500000000001,2536,4,59,6,1995,137,1936,14.950968145345598,1,0.49999999999999994,0.8660254037844387,-44.19033714177414,-66.00379044523272,0.1512,2015,1
25.25,8.3,472.75,2359,871,1402,254,1402,91,0,13.683324694302485,1,0.49999999999999994,0.8660254037844387,-29.42203387084919,-52.026004624332955,0.7343000000000001,2015,2
27.500000000000004,9.600000000000001,542.5000000000001,1365,640,878,162,878,75,0,12.007076913534814,1,0.49999999999999994,0.8660254037844387,-0.1369556085527961,-64.20715987699367,0.8448,2015,2
26.8,11.199999999999996,520.8000000000001,1375,293,880,209,880,82,0,11.923505140320223,1,0.49999999999999994,0.8660254037844387,1.4800119028623442,-68.51907324076738,0.7223,2015,0
28.900000000000002,10.600000000000001,585.9000000000001,1896,2796,769,1,1417,153,649,11.635625649398445,1,0.49999999999999994,0.8660254037844387,7.013634053038601,-67.65669056801264,0.502,2015,1
28.950000000000003,9.700000000000003,587.45,2104,118,434,45,1500,137,1066,13.024668718083305,1,0.49999999999999994,0.8660254037844387,-19.037509186427528,-59.931179124584744,0.8423,2015,2
26.150000000000002,8.5,500.6500000000001,2737,190,230,20,1509,70,1279,12.550346517044847,1,0.49999999999999994,0.8660254037844387,-10.52148029297446,-36.89837523976021,0.461,2015,0
26.700000000000003,7.199999999999999,517.7,1321,1876,890,289,890,68,0,12.6962712824083,1,0.49999999999999994,0.8660254037844387,-13.216426145333031,-67.22549923163527,0.6787000000000001,2015,1
23.35,8.899999999999999,413.85,2379,485,1379,215,1379,81,0,13.565117301454158,1,0.49999999999999994,0.8660254037844387,-27.69726852533971,-52.42126334934555,0.8577,2015,2
27.25,8.900000000000002,534.75,2199,696,1316,197,1316,77,0,13.363151177499294,1,0.49999999999999994,0.8660254037844387,-24.607063947968555,-47.426630369641,0.8317,2015,0
28.200000000000003,9.8,564.2,2025,310,1196,498,1196,99,0,11.678946960091007,1,0.49999999999999994,0.8660254037844387,6.187183991648638,-76.56797818647829,0.6115,2015,0
